type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,BasketID,Duration
Long,2019-01-09 09:15:00,2019-01-09 12:15:00,3.9,3.9,Long,12600,0.0,0.0,982822.1999999998,SL,TTML,0 days 03:00:00
Long,2019-01-09 09:15:00,2019-01-09 12:15:00,63.0,63.85,Long,780,0.8500000000000014,663.0000000000011,983485.1999999998,TP,IDBI,0 days 03:00:00
Long,2019-01-09 10:15:00,2019-01-09 13:15:00,3.5,3.6,Long,14049,0.10000000000000009,1404.9000000000012,984890.0999999999,TP,RTNPOWER,0 days 03:00:00
Long,2019-01-09 10:15:00,2019-01-09 13:15:00,16.5,16.9,Long,2984,0.3999999999999986,1193.5999999999958,986083.6999999998,TP,GMRINFRA,0 days 03:00:00
Long,2019-01-09 10:15:00,2019-01-09 13:15:00,133.8,146.5,Long,368,12.699999999999989,4673.599999999996,990757.2999999998,TP,PRAJIND,0 days 03:00:00
Long,2019-01-09 10:15:00,2019-01-09 13:15:00,108.05,107.95,Long,458,-0.09999999999999432,-45.7999999999974,990711.4999999998,SL,MOTHERSON,0 days 03:00:00
Long,2019-01-09 11:15:00,2019-01-09 14:15:00,2.05,2.05,Long,24163,0.0,0.0,990711.4999999998,SL,JPPOWER,0 days 03:00:00
Long,2019-01-09 11:15:00,2019-01-09 14:15:00,270.6,261.0,Long,183,-9.600000000000023,-1756.8000000000043,988954.6999999997,SL,DELTACORP,0 days 03:00:00
Long,2019-01-09 12:15:00,2019-01-09 15:15:00,40.7,39.6,Long,1214,-1.1000000000000014,-1335.4000000000017,987619.2999999997,SL,DISHTV,0 days 03:00:00
Long,2019-01-09 12:15:00,2019-01-09 15:15:00,821.5,822.5,Long,60,1.0,60.0,987679.2999999997,TP,IBULHSGFIN,0 days 03:00:00
Long,2019-01-09 12:15:00,2019-01-09 15:15:00,97.0,96.8,Long,509,-0.20000000000000284,-101.80000000000145,987577.4999999997,SL,FEDERALBNK,0 days 03:00:00
Long,2019-01-09 13:15:00,2019-01-10 09:15:00,3.6,3.7,Long,13716,0.10000000000000009,1371.6000000000013,988949.0999999996,TP,RTNPOWER,0 days 20:00:00
Long,2019-01-09 13:15:00,2019-01-10 09:15:00,291.3,289.1,Long,169,-2.1999999999999886,-371.7999999999981,988577.2999999996,SL,JSWSTEEL,0 days 20:00:00
